# t, p, e, x, pp, pt, pr
2.509402444625760615e+07,7.004686402550715840e+00,1.970818729396286162e-01,1.000000000000000000e+00,1.399379170134716260e+05,1.399379170134716260e+05,8.659771439952898072e+04
2.512067329751542211e+07,6.968020118014345066e+00,1.965453110560241856e-01,1.000000000000000000e+00,1.402278063691061980e+05,1.402278063691061980e+05,8.670318501700570050e+04
2.514335252011545375e+07,6.935153367304786265e+00,1.961198554733914190e-01,1.000000000000000000e+00,1.404767218263481918e+05,1.404767218263481918e+05,8.679214298277019407e+04
2.516603174271548539e+07,6.900500231761067305e+00,1.957334444960494302e-01,1.000000000000000000e+00,1.407278293431214406e+05,1.407278293431214406e+05,8.688025711061918992e+04
2.518483475388351828e+07,6.870188586029409628e+00,1.954524967050626505e-01,1.000000000000000000e+00,1.409378125031858217e+05,1.409378125031858217e+05,8.695258246392563160e+04
2.520363776505155489e+07,6.838190363690590523e+00,1.952190412502399219e-01,1.000000000000000000e+00,1.411495573667471472e+05,1.411495573667471472e+05,8.702415326827084937e+04
2.521124938577573374e+07,6.824688852717163634e+00,1.951414292603821654e-01,1.000000000000000000e+00,1.412358088578222378e+05,1.412358088578222378e+05,8.705288695367072069e+04
2.521916561929386854e+07,6.810272379226648631e+00,1.950730825344054731e-01,1.000000000000000000e+00,1.413258579481837805e+05,1.413258579481837805e+05,8.708261129703753977e+04
2.523220204243776575e+07,6.785608722302778339e+00,1.949930121174161812e-01,1.000000000000000000e+00,1.414749588169399067e+05,1.414749588169399067e+05,8.713117857318557799e+04
2.524575294762986898e+07,6.758576432690568403e+00,1.949631610360055001e-01,1.000000000000000000e+00,1.416310838080963586e+05,1.416310838080963586e+05,8.718110401038546115e+04
2.525686181434135512e+07,6.735163359783823189e+00,1.949913911726665894e-01,1.000000000000000000e+00,1.417600129326767346e+05,1.417600129326767346e+05,8.722155355578238959e+04
2.526797068105284125e+07,6.710399953674529350e+00,1.950821898889132378e-01,1.000000000000000000e+00,1.418898660783750238e+05,1.418898660783750238e+05,8.726151395271978981e+04
2.527685878692948073e+07,6.689423849217456031e+00,1.952137063292164743e-01,1.000000000000000000e+00,1.419944863558229117e+05,1.419944863558229117e+05,8.729308795607427601e+04
2.528574689280612022e+07,6.667195865048912040e+00,1.954142636771002972e-01,1.000000000000000000e+00,1.420998148746507068e+05,1.420998148746507068e+05,8.732426028419450449e+04
2.529278508241393790e+07,6.648520774831522928e+00,1.956370095317355451e-01,1.000000000000000000e+00,1.421837721136791224e+05,1.421837721136791224e+05,8.734862231693736976e+04
2.529982755551829562e+07,6.628671024502005515e+00,1.959344756743003346e-01,1.000000000000000000e+00,1.422683190246977028e+05,1.422683190246977028e+05,8.737267481371128815e+04
2.530285190866324306e+07,6.619722701630108119e+00,1.960909629714091273e-01,1.000000000000000000e+00,1.423048072479481925e+05,1.423048072479481925e+05,8.738289313666033559e+04
2.530594104263220727e+07,6.610277842011234029e+00,1.962723976198794407e-01,1.000000000000000000e+00,1.423421972231525579e+05,1.423421972231525579e+05,8.739325493982461921e+04
2.531086922908364981e+07,6.594475362617424175e+00,1.966159535400773817e-01,1.000000000000000000e+00,1.424021163829677389e+05,1.424021163829677389e+05,8.740961344084714074e+04
2.531520194841308519e+07,6.579691821133645924e+00,1.969864910328593677e-01,1.000000000000000000e+00,1.424550951125227730e+05,1.424550951125227730e+05,8.742380090670583013e+04
2.531902212056455389e+07,6.565803086825537704e+00,1.973819906996602813e-01,1.000000000000000000e+00,1.425020656895524007e+05,1.425020656895524007e+05,8.743613847309774428e+04
2.532237802393725514e+07,6.552782327167362197e+00,1.977982829963879086e-01,1.000000000000000000e+00,1.425435519555765204e+05,1.425435519555765204e+05,8.744682554048934253e+04
2.532531564332391322e+07,6.540598585389125752e+00,1.982312289304209163e-01,1.000000000000000000e+00,1.425800605440362706e+05,1.425800605440362706e+05,8.745604808573325863e+04
2.532787829029528797e+07,6.529217619782877513e+00,1.986768223357800178e-01,1.000000000000000000e+00,1.426120751969973207e+05,1.426120751969973207e+05,8.746397775998203724e+04
2.533010548161673918e+07,6.518606997322101471e+00,1.991310806879611206e-01,1.000000000000000000e+00,1.426400416358902294e+05,1.426400416358902294e+05,8.747076887496632116e+04
2.533203353515839204e+07,6.508734546092147077e+00,1.995901397671187572e-01,1.000000000000000000e+00,1.426643737820522510e+05,1.426643737820522510e+05,8.747656083990514162e+04
2.533362113663458079e+07,6.500046127563679832e+00,2.000230592799519536e-01,1.000000000000000000e+00,1.426844986019998905e+05,1.426844986019998905e+05,8.748126575727276213e+04
